step,mloss,gloss,loss
10.0,0.0,0.9773,0.9773
20.0,0.0,0.9632,0.9632
30.0,0.0,0.7891,0.7891
40.0,0.0,0.5953,0.5953
50.0,0.0,0.5429,0.5429
60.0,0.0,0.5448,0.5448
70.0,0.0,0.5334,0.5334
80.0,0.0,0.5468,0.5468
90.0,0.0,0.542,0.542
100.0,0.0,0.5172,0.5172
110.0,0.0,0.517,0.517
120.0,0.0,0.5122,0.5122
130.0,0.0,0.5258,0.5258
140.0,0.0,0.5171,0.5171
150.0,0.0,0.4949,0.4949
160.0,0.0,0.5141,0.5141
170.0,0.0,0.5117,0.5117
180.0,0.0,0.5024,0.5024
190.0,0.0,0.487,0.487
200.0,0.0,0.4984,0.4984
210.0,0.0,0.4949,0.4949
220.0,0.0,0.4951,0.4951
230.0,0.0,0.4957,0.4957
240.0,0.0,0.4924,0.4924
250.0,0.0,0.4921,0.4921
260.0,0.0,0.4882,0.4882
270.0,0.0,0.4757,0.4757
280.0,0.0,0.4916,0.4916
290.0,0.0,0.4829,0.4829
300.0,0.0,0.4685,0.4685
