step,mloss,gloss,loss
10.0,0.0,0.6917,0.6917
20.0,0.0,0.5645,0.5645
30.0,0.0,0.5437,0.5437
40.0,0.0,0.5273,0.5273
50.0,0.0,0.5254,0.5254
60.0,0.0,0.5189,0.5189
70.0,0.0,0.5139,0.5139
80.0,0.0,0.5179,0.5179
90.0,0.0,0.5096,0.5096
100.0,0.0,0.5119,0.5119
110.0,0.0,0.5096,0.5096
120.0,0.0,0.5108,0.5108
130.0,0.0,0.5077,0.5077
140.0,0.0,0.5066,0.5066
150.0,0.0,0.504,0.504
160.0,0.0,0.5129,0.5129
170.0,0.0,0.5023,0.5023
180.0,0.0,0.5051,0.5051
190.0,0.0,0.4945,0.4945
200.0,0.0,0.5028,0.5028
210.0,0.0,0.4945,0.4945
220.0,0.0,0.4904,0.4904
230.0,0.0,0.4932,0.4932
240.0,0.0,0.4927,0.4927
250.0,0.0,0.4829,0.4829
260.0,0.0,0.49,0.49
270.0,0.0,0.4796,0.4796
280.0,0.0,0.4896,0.4896
290.0,0.0,0.4866,0.4866
300.0,0.0,0.4889,0.4889
